Wire Size,Wire Rod Part Number,Max Bundle Size,Bundle size,S&C Speed (Lbs/hour),Spool Speed (Lbs/hour)
1.4,01WRD07/32GR1006,2500,1800,2346.04,4256.77
2.1,01WRD07/32GR1006,2500,1800,3467.81,6154.64
2.2,01WRD07/32GR1006,2500,1800,3625.27,6413.22
2.3,01WRD07/32GR1006,2500,1800,3782.03,6668.67
2.4,01WRD07/32GR1006,2500,1800,3938.10,6920.97
2.5,01WRD07/32GR1006,2500,1800,4093.47,7170.14
2.6,01WRD07/32GR1006,2500,1800,4248.15,7416.18
2.7,01WRD07/32GR1006,2500,1800,4402.12,7659.07
2.8,01WRD07/32GR1006,2500,1800,4555.40,7898.83
2.9,01WRD07/32GR1006,2500,1800,4707.98,8135.46
3.0,01WRD07/32GR1006,2500,1800,4859.87,8368.95
3.1,01WRD001/4GR1008,2500,1800,5011.05,8599.30
3.2,01WRD001/4GR1008,2500,1800,5161.54,8826.52
3.3,01WRD001/4GR1008,2500,1800,5311.33,9050.59
3.4,01WRD001/4GR1008,2500,1800,5460.43,9271.54
3.5,01WRD001/4GR1008,2300,1800,5608.83,9489.34
3.6,01WRD001/4GR1008,2300,1800,5756.53,9704.02
3.7,01WRD001/4GR1008,2300,1800,5903.53,9915.55
3.8,01WRD001/4GR1008,2300,1800,6049.83,10123.95
3.9,01WRD001/4GR1008,2300,1800,6195.44,10329.21
4.0,01WRD09/32GR1008,2200,1800,6340.35,10531.33
4.1,01WRD09/32GR1008,2200,1800,6484.56,10730.32
4.2,01WRD09/32GR1008,2200,1800,6628.08,10926.18
4.3,01WRD09/32GR1008,2200,1800,6770.90,11118.89
4.4,01WRD09/32GR1008,2200,1800,6913.02,11308.47
4.5,01WRD09/32GR1008,1900,1800,7054.44,11494.92
4.6,01WRD09/32GR1008,2000,1800,7195.17,11678.23
4.7,01WRD09/32GR1008,2000,1800,7335.20,11858.40
4.8,01WRD09/32GR1008,1800,1800,7474.53,12035.43
4.9,01WRD09/32GR1008,1800,1800,7613.16,12209.33
5.0,01WRD05/16GR1008,1800,1500,7751.10,12380.09
5.1,01WRD05/16GR1008,1800,1500,7888.34,12547.72
5.2,01WRD05/16GR1008,1800,1500,8024.88,12712.21
5.3,01WRD05/16GR1008,1800,1500,8160.73,12873.56
5.4,01WRD05/16GR1008,1800,1500,8295.87,13031.78
5.5,01WRD05/16GR1008,1600,1500,8430.32,13186.86
5.6,01WRD05/16GR1008,1600,1500,8564.08,13338.80
5.7,01WRD05/16GR1012,1600,1500,8697.13,13487.61
5.8,01WRD05/16GR1012,1600,1500,8829.49,13633.28
5.9,01WRD05/16GR1012,1600,1500,8961.15,13775.82
6.0,01WRD05/16GR1012,1500,1500,9092.11,13915.22
6.1,01WRD05/16GR1012,1500,1500,9222.38,14051.48
6.2,01WRD05/16GR1012,1500,1500,9351.95,14184.61
6.3,01WRD05/16GR1012,1500,1500,9480.82,14314.60
6.4,01WRD11/32GR1012,1500,1500,9608.99,14441.45
6.5,01WRD11/32GR1012,1500,1500,9736.47,14565.17
6.6,01WRD11/32GR1012,1500,1500,9863.25,14685.75
6.7,01WRD11/32GR1012,1500,1500,9989.33,14803.20
6.8,01WRD11/32GR1012,1500,1500,10114.71,14917.51
6.9,01WRD11/32GR1012,1500,1500,10239.40,15028.68
7.0,01WRD11/32GR1012,1400,,10363.39,15136.72
7.1,01WRD11/32GR1012,1400,1000,10486.68,15241.62
7.2,01WRD11/32GR1012,1400,1000,10609.28,15343.38
7.3,01WRD11/32GR1012,1400,1000,10731.18,15442.01
7.4,01WRD11/32GR1015,1400,1000,10852.38,15537.50
7.5,01WRD11/32GR1015,1200,1000,10972.88,15629.85
7.6,01WRD11/32GR1015,1200,1000,11092.69,15719.07
7.7,01WRD11/32GR1015,1200,1000,11211.79,15805.15
7.8,01WRD11/32GR1015,1200,1000,11330.20,15888.10
7.9,01WRD11/32GR1015,1200,1000,11447.92,15967.91
8.0,01WRD003/8GR1012,1200,1000,11564.93,16044.58
8.1,01WRD003/8GR1012,1200,1000,11681.25,16118.12
8.2,01WRD003/8GR1012,1100,1000,11796.87,16188.52
8.3,01WRD003/8GR1012,1100,1000,11911.80,16255.78
8.4,01WRD003/8GR1012,1100,1000,12026.03,16319.91
8.5,01WRD003/8GR1012,1000,1000,12139.55,16380.90
8.6,01WRD13/32GR1012,1000,1000,12252.39,16438.76
8.7,01WRD13/32GR1012,1000,1000,12364.52,16493.48
